transaction_id,date,amount,reference,vendor,description
L0001,2025-07-10,6196.13,INV-1259,Bluepeak Logistics LLC,Freight invoice INV-1259
L0002,2025-08-13,7342.37,INV-1301,Harborview Properties,Office rent invoice INV-1301
L0003,2025-08-13,14540.81,INV-1068,Ridgeline Staffing Group,Contract labor invoice INV-1068
L0004,2025-09-15,10440.32,INV-1148,Greenfield Janitorial,Cleaning services invoice INV-1148
L0005,2025-09-19,8966.16,INV-1373,Ironclad Security Systems,Facility security invoice INV-1373
L0006,2025-09-22,9171.16,INV-1131,Meridian Software Inc,Software subscription invoice INV-1131
L0007,2025-07-07,14141.80,INV-1140,Acme Industrial Supply,Maintenance parts invoice INV-1140
L0008,2025-08-05,3962.35,INV-1221,Greenfield Janitorial,Cleaning services invoice INV-1221
L0009,2025-07-28,17331.94,INV-1305,Greenfield Janitorial,Cleaning services invoice INV-1305
L0010,2025-09-16,17968.66,INV-1013,Fairmont Catering Co,Staff catering invoice INV-1013
L0011,2025-09-24,6748.27,INV-1137,Copperfield Printing,Marketing materials invoice INV-1137
L0012,2025-09-15,10538.69,INV-1356,Lakeshore Telecom,Phone and internet invoice INV-1356
L0013,2025-08-25,17077.25,INV-1189,Bluepeak Logistics LLC,Freight invoice INV-1189
L0014,2025-07-18,15764.75,INV-1129,Delta Freight Systems,Freight invoice INV-1129
L0015,2025-08-07,3610.28,INV-1028,Harborview Properties,Office rent invoice INV-1028
L0016,2025-09-08,14744.68,INV-1042,Orchard Data Services,Data hosting invoice INV-1042
L0017,2025-09-17,4583.09,INV-1176,Sterling Legal Partners,Legal fees invoice INV-1176
L0018,2025-08-18,16609.84,INV-1181,Ridgeline Staffing Group,Contract labor invoice INV-1181
L0019,2025-07-31,13437.12,INV-1286,Lakeshore Telecom,Phone and internet invoice INV-1286
L0020,2025-07-08,12259.48,INV-1276,Orchard Data Services,Data hosting invoice INV-1276
L0021,2025-09-02,4357.50,INV-1327,Sterling Legal Partners,Legal fees invoice INV-1327
L0022,2025-08-05,6834.67,INV-1269,Ironclad Security Systems,Facility security invoice INV-1269
L0023,2025-07-28,13447.36,INV-1053,Lakeshore Telecom,Phone and internet invoice INV-1053
L0024,2025-09-02,2037.32,INV-1294,Bluepeak Logistics LLC,Freight invoice INV-1294
