transaction_id,date,amount,reference,description
B0001,2025-07-01,3884.28,INV-1132,ACH DEBIT STERLING LEGAL PAR INV-1132
B0102,2025-07-03,2039.93,INV-1280,ACH DEBIT HARBORVIEW PROPERT INV-1280
B0002,2025-07-04,1245.75,INV-1060,ACH DEBIT RIDGELINE STAFFING INV-1060
B0087,2025-07-07,13426.02,INV-1278,ACH DEBIT MERIDIAN SOFTWARE INV-1278
B0120,2025-07-07,1532.94,INV-1201,ACH DEBIT DELTA FREIGHT SYST INV-1201
B0007,2025-07-08,11967.81,INV-1049,ACH DEBIT COPPERFIELD PRINTI INV-1049
B0024,2025-07-08,4352.15,INV-1387,WIRE OUT BLUEPEAK LOGISTICS
B0062,2025-07-08,140.79,INV-1211,WIRE OUT RIDGELINE STAFFING
B0082,2025-07-08,12259.48,INV-1276,ACH DEBIT ORCHARD DATA SERVI INV-1276
B0090,2025-07-08,8360.71,PMT INV 1033,WIRE OUT ORCHARD DATA SERVI
B0027,2025-07-11,7836.53,PO53784,ACH DEBIT VIB PO53784
B0029,2025-07-11,12182.38,INV-1371,WIRE OUT ACME INDUSTRIAL SU
B0031,2025-07-11,14085.23,140,CHECK #4982 ACME I
B0135,2025-07-11,10125.46,INV-1115,ACH DEBIT HARBORVIEW PROPERT INV-1115
B0148,2025-07-11,8960.26,INV-1076,WIRE OUT COPPERFIELD PRINTI
B0060,2025-07-14,3739.98,INV-1273,CHECK #4385 CASCADE OFFICE SUP
B0107,2025-07-14,3326.09,INV-1364,ACH DEBIT ACME INDUSTRIAL SU INV-1364
B0117,2025-07-14,10746.15,INV-1263,ACH DEBIT ACME INDUSTRIAL SU INV-1263
B0012,2025-07-15,10503.75,INV-1002,CHECK #4848 ACME INDUSTRIAL SU
B0016,2025-07-15,6171.35,,ACH DEBIT MONTHLY PAYMENT
B0033,2025-07-16,1793.50,INV-1089,WIRE OUT SUMMIT EQUIPMENT R
B0014,2025-07-17,2934.63,INV-1084,CHECK #4938 BLUEPEAK LOGISTICS
B0054,2025-07-18,2557.03,1027,ACH DEBIT VANTAGE INSURANCE 1027
B0096,2025-07-18,3300.72,PO68178,ACH DEBIT COS PO68178
B0038,2025-07-21,4905.61,INV-1328,ACH DEBIT VANTAGE INSURANCE INV-1328
B0074,2025-07-21,6376.04,INV-1320,WIRE OUT GREENFIELD JANITOR
B0019,2025-07-22,16441.07,INV-1270,ACH DEBIT BLUEPEAK LOGISTICS INV-1270
B0025,2025-07-22,4682.03,INV-1195,ACH DEBIT PACIFIC POWER  LIG INV-1195
B0040,2025-07-22,15210.82,INV-1032,ACH DEBIT NORTHWIND TRADING INV-1032
B0045,2025-07-22,9174.92,INV-1133,WIRE OUT PACIFIC POWER  LIG
B0065,2025-07-22,504.65,INV-1090,CHECK #4858 RIDGELINE STAFFING
B0013,2025-07-24,9661.01,INV-1155,ACH DEBIT GREENFIELD JANITOR INV-1155
B0127,2025-07-24,8053.18,INV-1202,CHECK #4196 LAKESHORE TELECOM
B0037,2025-07-25,1793.50,INV-1089,ACH DEBIT SUMMIT EQUIPMENT R INV-1089
B0058,2025-07-28,17331.94,INV-1305,CHECK #4558 GREENFIELD JANITOR
B0095,2025-07-28,13447.36,INV-1053,CHECK #4248 LAKESHORE TELECOM
B0106,2025-07-28,4682.03,PMT INV 1195,ACH DEBIT PACIFIC POWER  LIG PMT INV 1195
B0137,2025-07-28,17080.33,INV-1057,ACH DEBIT HARBORVIEW PROPERT INV-1057
B0099,2025-07-29,8157.99,INV-1349,ACH DEBIT COPPERFIELD PRINTI INV-1349
B0006,2025-07-30,213.05,INV-1375,ACH DEBIT STERLING LEGAL PAR INV-1375
B0113,2025-07-31,2021.97,INV-1010,ACH DEBIT SUMMIT EQUIPMENT R INV-1010
B0140,2025-07-31,3306.79,INV-1191,ACH DEBIT PACIFIC POWER  LIG INV-1191
B0146,2025-07-31,8157.99,INV1349,WIRE OUT COPPERFIELD PRINTI
B0063,2025-08-01,13437.11,INV-1286,CHECK #5026 LAKESHORE TELECOM
B0070,2025-08-01,756.38,INV-1265,ACH DEBIT VANTAGE INSURANCE INV-1265
B0078,2025-08-01,485.81,INV-1083,WIRE OUT DELTA FREIGHT SYST
B0047,2025-08-04,837.99,PMT INV 1326,CHECK #5073 SUMMIT EQUIPMENT R
B0055,2025-08-04,9228.45,INV-1329,CHECK #4586 CASCADE OFFICE SUP
B0066,2025-08-04,213.05,INV-1375,CHECK #4042 STERLING LEGAL PAR
B0108,2025-08-04,9926.51,INV-1277,ACH DEBIT RIDGELINE STAFFING INV-1277
